id,ts_entry,city,question,date_str,days_ahead,unit,mb_max_model,mb_consensus,mb_n_models,market_threshold,overshoot,market_type,no_ask_entry,stop_price,roe_per_day,score,sim_stake,sim_tokens,sim_value_now,sim_pnl_now,sim_pnl_pct_now,no_price_last,no_price_max,no_price_min,ticks_tracked,last_update,status
2564,2026-07-09T11:49:00.104717,Singapore,Will the highest temperature in Singapore be 32°C on July 11?,2026-07-11,2,C,30.12,29.09,10,32.0,1.88,exact,0.68,0.578,23.53,28.597,5.0,7.3529,5.0,0.0,0.0%,0.68,0.68,0.68,1,2026-07-09T11:49:00.104728,🟢 OPEN
2563,2026-07-09T11:48:46.109418,Munich,Will the highest temperature in Munich be 30°C on July 10?,2026-07-10,1,C,28.37,27.37,10,30.0,1.63,exact,0.82,0.697,21.95,23.683,5.0,6.0976,5.0,0.0,0.0%,0.82,0.82,0.82,1,2026-07-09T11:48:46.109427,🟢 OPEN
2562,2026-07-09T11:48:17.596211,Wellington,Will the highest temperature in Wellington be 12°C on July 11?,2026-07-11,2,C,10.28,8.72,10,12.0,1.72,exact,0.973,0.827,1.39,4.323,5.0,5.1387,5.0,0.0,0.0%,0.973,0.973,0.973,1,2026-07-09T11:48:17.596221,🟢 OPEN
2561,2026-07-09T11:47:11.111648,Londres,Will the highest temperature in London be 33°C on July 10?,2026-07-10,1,C,31.31,30.3,10,33.0,1.69,exact,0.995,0.8458,0.5,3.033,5.0,5.0251,5.0,0.0,0.0%,0.995,0.995,0.995,1,2026-07-09T11:47:11.111660,🟢 OPEN
2560,2026-07-09T06:38:06.709196,Tokyo,Will the highest temperature in Tokyo be 34°C on July 11?,2026-07-11,2,C,31.99,30.52,10,34.0,2.01,exact,0.992,0.8432,0.4,5.4,5.0,5.0403,5.0201,0.0201,0.4%,0.996,0.996,0.992,2,2026-07-09T11:45:33.142679,🟢 OPEN
2559,2026-07-09T06:37:57.889008,Shanghai,Will the highest temperature in Shanghai be 35°C on July 11?,2026-07-11,2,C,32.16,30.18,10,35.0,2.84,exact,0.995,0.8458,0.25,15.067,5.0,5.0251,4.9748,-0.0252,-0.5%,0.99,0.995,0.99,2,2026-07-09T11:45:33.619114,🟢 OPEN
2558,2026-07-09T06:37:43.638257,Sao Paulo,Will the highest temperature in Sao Paulo be 29°C on July 10?,2026-07-10,1,C,27.29,25.38,10,29.0,1.71,exact,0.995,0.8458,0.5,3.3,5.0,5.0251,5.005,0.005,0.1%,0.996,0.996,0.995,2,2026-07-09T11:45:34.143850,🟢 OPEN
2557,2026-07-09T06:37:28.662006,Paris,Will the highest temperature in Paris be 39°C or higher on July 11?,2026-07-11,2,C,36.84,35.34,10,39.0,2.16,above_equal,0.99,0.8415,0.51,8.41,5.0,5.0505,4.904,-0.096,-1.92%,0.971,0.99,0.971,2,2026-07-09T11:45:34.634930,🟢 OPEN
2556,2026-07-09T06:37:17.651990,Toronto,Will the highest temperature in Toronto be 31°C on July 10?,2026-07-10,1,C,28.37,26.64,15,31.0,2.63,exact,0.99,0.8415,1.01,12.677,5.0,5.0505,4.9747,-0.0253,-0.51%,0.985,0.99,0.985,2,2026-07-09T11:45:37.123865,🟢 OPEN
2555,2026-07-09T06:36:08.964471,Ankara,Will the highest temperature in Ankara be 33°C on July 11?,2026-07-11,2,C,30.71,29.43,10,33.0,2.29,exact,0.987,0.8389,0.66,11.193,5.0,5.0659,4.9899,-0.0101,-0.2%,0.985,0.987,0.985,2,2026-07-09T11:45:37.620877,🟢 OPEN
